song_name,artist,spotify_id,overall_positiveness_score
Still Don't Know My Name,Labrinth,6N22FZs2ZhPBYi3b9XPajV,0.60591133
Paper Rings,Taylor Swift,4y5bvROuBDPr5fuwXbIBZR,0.718446602
Out of My League,Fitz and The Tantrums,5qEn8c0MBzyRKgQq91Vevi,0.747474747
Hold On,Extreme Music,4Z524Thpkxb5g8ZKHa7nWI,0.435897436
Arcade,Duncan Laurence,1Xi84slp6FryDSCbzq4UCD,0.588235294
All I Want,Ashley Price,6pz8ksOVgKuwMT2REEeXbK,0.490039841
Hold on I Still Want You,Nathan Sean,5lemcblP99b03c3vRKq4f8,0.581151832
Infinity,Jaymes Young,1SOClUWhOi8vHZYMz3GluK,0.9
Lover,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI,0.839215686
What About Us,P!nk,0Qh38w01QRXK6KHIv0e3hb,0.699300699
Walk Me Home,P!nk,7DHApOHsIFo7EyfieArYGE,0.315217391
A Million Dreams,P!nk,0oagwWkGlBoACUuKvTmqZV,0.654275093
Rewrite The Stars,Zac Efron,630sXRhIcfwr2e4RdNtjKN,0.392857143
Already Gone,Sleeping At Last,5zCunX8URvLoBHlg1Fnjv6,0.493197279
If the World Was Ending (feat. Julia Michaels),JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,0.609665428
What A Time (feat. Niall Horan),Julia Michaels,5WtfUKzXircvW8l5aaVZWT,0.557768924
Electric Love,BØRNS,2GiJYvgVaD2HtM8GqD9EgQ,0.856603774
Backyard Boy,Claire Rosinkranz,0QpOqKz66ZxHNqj2PPHiFF,0.709821429
Make You Mine,PUBLIC,5iFwAOB2TFkPJk8sMlxP8g,0.704081633
This Town,Niall Horan,0qvzXomUDJVaUboy2wMfiS,0.715517241
Riptide,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,0.686868687
Ophelia,The Lumineers,5NORWMFC27ywGSZxi8uquP,0.815151515
Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,0.6375
ily (i love you baby) (feat. Emilee),Surf Mesa,62aP9fBQKYKxi7PDXwcUAS,0.601895735
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,0.711229947
Bloodshot,Dove Cameron,1QAH5HMnoDt76yBNpLUsHo,0.5625
notice me (feat. BENEE),ROLE MODEL,3WowsoNoWeMqTH2suWv9MW,0.329411765
Love Is Love,Grace Potter,3evHzU2xmG80c3jS4YT6ZI,0.783783784
Speechless,Dan + Shay,3GJ4hzg4lrGwU51Y3VARbF,0.480314961
Slow Dance (feat. Ava Max),AJ Mitchell,5FNS5Vj69AhRGJWjhrAd01,0.27826087
Hey There Delilah,Plain White T's,4RCWB3V8V0dignt99LZ8vH,0.770053476
Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A,0.423423423
All I Want,Olivia Rodrigo,1v6svH1Fyx9C1nIt1mA2DT,0.821086262
Like I Can,Sam Smith,2TeLIzFBe3hxkPR5FIQZut,0.198347107
Grenade,Bruno Mars,4lLtanYk6tkMvooU0tWzG8,0.533333333
Freaks,Surf Curse,7EkWXAI1wn8Ii883ecd9xr,0.537549407
Havana (feat. Young Thug),Camila Cabello,1rfofaqEpACxVEHIZBJe6W,0.4609375
this is what falling in love feels like,JVKE,2PWTZV5znjLtZC5T1EVJvL,0.73655914
Eye Lv U,Oberhofer,6stlARvW1qhzfGhxUBMnVF,0.906779661
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,2tUBqZG2AbRi7Q0BIrVrEj,0.887445887
Love On Top,Beyoncé,1z6WtY7X4HQJvzxC4UgkSf,0.924471299
Girls Just Want to Have Fun,Cyndi Lauper,4y1LsJpmMti1PfRQV9AWWe,0.962025316
ABC,The Jackson 5,6D8kc7RO0rqBLSo2YPflJ5,0.854166667
Here Comes The Sun - Remastered 2009,The Beatles,6dGnYIeXmHdcikdzNNDMm2,0.482625483
Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,0.86746988
Move Your Feet,Junior Senior,4DX82Vc8qAH4jJPvKxvwg6,0.926573427
Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,0.979118329
Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr,0.741935484
Fuck You,CeeLo Green,3ydfhgIZIc2j39NLIhpJpq,0.544364508
Hey Ya!,Outkast,2PpruBYCo4H7WOBJ7Q2EwM,0.540229885
I Got You (I Feel Good),James Brown & The Famous Flames,5haXbSJqjjM0TCJ5XkfEaC,0.824786325
Unwritten,Natasha Bedingfield,3U5JVgI2x4rDyHGObzJfNf,0.196078431
Twist And Shout - Remastered 2009,The Beatles,5ZBeML7Lf3FMEVviTyvi8l,0.581395349
"I'll Be There for You - Theme From ""Friends""",The Rembrandts,15tHagkk8z306XkyOHqiip,0.320819113
We Go Together - From “Grease”,John Travolta,5CyZPkmTBmq61SunRDysna,0.643979058
It's Not Unusual,Tom Jones,3TlIt0ReIxPsVZcOEivT5U,0.379194631
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,07Oz5StQ7GRoygNLaXs2pd,0.505454545
Don't Stop Me Now - Remastered 2011,Queen,5T8EDUDqKcs6OSOwEsfqG7,0.705555556
Uptown Funk (feat. Bruno Mars),Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,0.917127072
I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,1qEHgdFqUxFebMPk8s2HLY,0.742160279
Twist And Shout,Chaka Demus & Pliers,4wrS2dvdYei9jZN0JlUBP6,0.840163934
Lovefool - Radio Edit,The Cardigans,0u4htORODiTK9vHVA89MQX,0.515267176
You're The One That I Want - From “Grease”,John Travolta,0B9x2BRHqj3Qer7biM3pU3,0.264550265
Treasure,Bruno Mars,55h7vJchibLdUkxdlX3fK7,0.954385965
Mr. Brightside,The Killers,003vvx7Niy0yvhvHt4a68B,0.473880597
Jungle Drum,Emilíana Torrini,49sGyqfSqURWHIKDbkTfdQ,0.902777778
Uptown Girl,Billy Joel,5zA8vzDGqPl2AzZkEYQGKh,0.906666667
I'm a Believer,The Monkees,1CSLeVCXmetBh8IkTPMFdL,0.669376694
I Want You Back,The Jackson 5,5LxvwujISqiB8vpRYv887S,0.573913043
I'm Like A Bird,Nelly Furtado,2aGw77pZqli064JiPuXYRi,0.92
Kung Fu Fighting,Carl Douglas,40NRm1ZLvZpUSCUXAGGZ8J,0.324483776
Ho Hey,The Lumineers,1K3LRUEcUz5FMtPYyg0F45,0.845679012
Footloose,Blake Shelton,3uOgYjdEyuKVTjapKtL7Xy,0.228448276
Do You Love Me,The Contours,0MRYsngZv8UGICDehOYuYJ,0.787301587
...Ready For It?,Taylor Swift,2yLa0QULdQr0qAIvVwN6B5,0.553571429
Life Changes,Thomas Rhett,4Vxu50qVrQcycjRyJQaZLC,0.777202073
Galway Girl,Ed Sheeran,0afhq8XCExXpqazXczTSve,0.978723404
Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,0.733333333
When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,0.669039146
Gonna Fly Now,Bill Conti,7iXYRR70wewzVYzWScm99j,0.612403101
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,5o3GnrcFtvkdf3zFznuSbA,0.47008547
Bad Blood,Taylor Swift,0TvQLMecTE8utzoNmvXRbK,0.339933993
Hall of Fame (feat. will.i.am),The Script,7wMq5n8mYSKlQIGECKUgTX,0.881516588
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,0.796561605
Stuck Like Glue,Sugarland,0JcKdUGNR7zI4jJDLyYXbi,0.588235294
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,0.853046595
Steal My Girl,One Direction,2Bs4jQEGMycglOfWPBqrVG,0.58125
I'm the One,DJ Khaled,3DXncPQOG4VBw3QHh3S817,0.842767296
Wildest Dreams,Taylor Swift,3fVnlF4pGqWI9flVENcT28,0.726315789
Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,0.238010657
Ignition - Remix,R. Kelly,5dNfHmqgr128gMY2tc5CeJ,0.726708075
Free Fallin',Tom Petty,5tVA6TkbaAH9QMITTQRrNv,0.89640592
Brown Eyed Girl,Van Morrison,3yrSvpt2l1xhsV9Em88Pul,0.695652174
It Girl,Jason Derulo,4fINc8dnfcz7AdhFYVA4i7,0.812274368
"Hey, Soul Sister",Train,4HlFJV71xXKIGcU3kRyttv,0.648148148
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,0.676470588
Kiss Me Thru The Phone,Soulja Boy,2q4rjDy9WhaN3o9MvDbO21,0.82173913
Blank Space,Taylor Swift,1u8c2t2Cy7UBoG4ArRcF5g,0.465256798
Roar,Katy Perry,6F5c58TMEs1byxUstkzVeM,0.762135922
Ymca,Village People,3ypMsqUwfNFMiooMLVHfkp,0.837962963
You Belong With Me,Taylor Swift,1GEBsLDvJGw7kviySRI6GX,0.737588652
All These Things That I've Done,The Killers,5vollujufHY0jMZxx77VWr,0.664974619
I Knew You Were Trouble.,Taylor Swift,6FB3v4YcR57y4tXFcdxI1E,0.083591331
22,Taylor Swift,3WC5CVAahvn98hiseoIvbw,0.733118971
Welcome To New York,Taylor Swift,10nqz67NQWWa7XPq7ycihi,0.948186528
Our Song,Taylor Swift,1j6gmK6u4WNI33lMZ8dC1s,0.720930233
Love Story,Taylor Swift,1D4PL9B8gOg78jiHg3FvBb,0.651933702
Hey Stephen,Taylor Swift,550erGcdD9n6PnwxrvYqZT,0.487719298
Style,Taylor Swift,0ug5NqcwcFR2xrfTkc7k8e,0.888888889
Mean,Taylor Swift,0KztjtD3ytzgYjUKIVfBnW,0.267716535
Gorgeous,Taylor Swift,1ZY1PqizIl78geGM4xWlEA,0.552631579
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2TF4UtYreqNbQ6Z9AccldU,0.913333333
Let Her Go,Passenger,2pUpNOgJBIBCcjyQZQ00qU,0.550675676
Stay With Me,Sam Smith,5Nm9ERjJZ5oyfXZTECKmRt,0.715425532
The A Team,Ed Sheeran,1VdZ0vKfR5jneCmWIUAMxK,0.448979592
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,3DXncPQOG4VBw3QHh3S817,0.695652174
Mirrors,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV,0.927007299
Firework,Katy Perry,1mXuMM6zjPgjL4asbBsgnt,0.672413793
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,0.940625
In Case You Didn't Know,Brett Young,10M2Ex445zw585Ducldzkw,0.381294964
Singles You Up,Jordan Davis,4LiMQ6G9n84rDUBs9wtwz6,0.23880597
Craving You,Thomas Rhett,2d48mamATjby7wgPjdrSOQ,0.547717842
All On Me,Devin Dawson,2mfahQ0EaaZWq4cFNg6A1o,0.390728477
Light It Up,Luke Bryan,5w3NgfV8v1nNZFLUBlGHIL,0.5875
Unforgettable,Thomas Rhett,30MM5jWpUmOxtTNd9Ey5LZ,0.752873563
I'll Name the Dogs,Blake Shelton,609qKv3KPAbdtp0LQH2buA,0.840909091
Greatest Love Story,LANCO,2yQZwi1P8AkkxxFhQ8rMEK,0.838709677
You Broke Up with Me,Walker Hayes,5jZF1nvKORdaHNjNNMRbFl,0.290566038
Kiss Somebody,Morgan Evans,4f3fb3alVLFc8Ga4ncpg7x,0.852233677
Like I Loved You,Brett Young,3T6MAweakkNrMYs8jZIWtg,0.573333333
The Long Way,Brett Eldredge,5vuMtXS5kQ7F0o9V9rG1dG,0.65034965
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,7iDa6hUg2VgEL1o1HjmfBn,0.470588235
Getting Over You,Jackie Lee,4hxPwjXNymrxLJD4YaeH1b,0.394230769
Marry Me,Thomas Rhett,0OWZFobGSIW9GrSlQ9C5pc,0.825
What Ifs (feat. Lauren Alaina),Kane Brown,7zVCrzzEJU7u24sbJPXA5W,0.805555556
Do I Make You Wanna,Billy Currington,3I7krC8kr0gFR7P6vInR1I,0.751879699
Happens Like That,Granger Smith,11fWR3u9wjDMW4oVDbUbyT,0.857142857
We Were That Song,Brett Kissel,0p3koX3t8IuRzXV3R31WD8,0.582191781
Down,Jay Sean,6cmm1LMvZdB5zsCwX5BjqE,0.602094241
Never Forget You,Zara Larsson,6hmhG1b4LEyNuashVvuIAo,0.445229682
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0vbtURX4qv1l7besfwmnD8,0.378082192
Shower,Becky G,3DmW6y7wTEYHJZlLo1r6XJ,0.857142857
It Ain’t Me (with Selena Gomez),Kygo,3eR23VReFzcdmS7TYCrhCe,0.911971831
Trumpets,Jason Derulo,6jizk5lOUnfpaZXYMdfeC6,0.567567568
Coming Home,Diddy - Dirty Money,6Iocm6VMu6bVNYwiDoyQFW,0.639423077
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,0.523489933
Replay,Iyaz,4E5P1XyAFtrjpiIxkydly4,0.773755656
Dynamite,Taio Cruz,2CEgGE6aESpnmtfiZwYlbV,0.936170213
I Gotta Feeling,Black Eyed Peas,4kLLWz7srcuLKA7Et40PQR,0.960199005
Some Nights,fun.,6t6oULCRS6hnI7rm0h5gwl,0.540425532
Escape (The Pina Colada Song),Rupert Holmes,5IMtdHjJ1OtkxbGe4zfUxQ,0.852941176
Sultans Of Swing,Dire Straits,37Tmv4NnfQeb0ZgUC4fOJj,0.729411765
Sweet Emotion,Aerosmith,73TxYZd0lBCVRrHawrAglA,0.659090909
Have You Ever Seen The Rain,Creedence Clearwater Revival,2LawezPeJhN4AWuSB0GtAU,0.952380952
Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,0.776699029
Three Little Birds,Bob Marley & The Wailers,7vggqxNKwd6xdRoYS0pQtM,1
"Another Brick in the Wall, Pt. 2",Pink Floyd,39SHjPPvNVW2H9rSsGGOPD,0.30994152
Boys Don't Cry,The Cure,1QFh8OH1e78dGd3VyJZCAC,0.627627628
Let It Be - Remastered 2009,The Beatles,7iN1s7xHE4ifF5povM6A48,0.738693467
Hold the Line,TOTO,4aVuWgvD0X63hcOCnZtNFA,0.974683544
Brandy (You're a Fine Girl),Looking Glass,2BY7ALEWdloFHgQZG6VMLA,0.920863309
The Great Gig in the Sky,Pink Floyd,25tZHMv3ctlzqDaHAeuU9c,0.803571429
Chiquitita,ABBA,762B4bOcXF7I2Y8UlKTyTy,0.341121495
Killer Queen - Remastered 2011,Queen,4cIPLtg1avt2Jm3ne9S1zy,0.376963351
Easy,Commodores,1JQ6Xm1JrvHfvAqhl5pwaA,0.898488121
Black Dog - Remaster,Led Zeppelin,3qT4bUD1MaWpGrTwcvguhb,0.542553191
Comfortably Numb,Pink Floyd,7Fg4jpwpkdkGCvq1rrXnvx,0.525345622
Time in a Bottle,Jim Croce,561F1zqRwGPCTMRsLsXVtL,0.928994083
If You Leave Me Now,Chicago,0KMGxYKeUzK9wc5DZCt3HT,0.54893617
Jamming,Bob Marley & The Wailers,4aUCPal9bxTnQkEfdIY6sG,0.934497817
Somebody To Love - Remastered 2011,Queen,4rDbp1vnvEhieiccprPMdI,0.5625
Father And Son,Yusuf / Cat Stevens,476V2d6iA2tWXgQboKmTtA,0.708860759
Barracuda,Heart,4KfSdst7rW39C0sfhArdrz,0.628318584
Roxanne,The Police,3EYOJ48Et32uATr9ZmLnAo,0.264150943
Mamma Mia,ABBA,2TxCwUlqaOH3TIyJqGgR91,0.165254237
Long Train Runnin',The Doobie Brothers,4nXkbcTj3nyww1cHkw5RAP,0.123595506
Wish You Were Here,Pink Floyd,1HzDhHApjdjXPLHF6GGYhu,0.628378378
What You Won't Do for Love,Bobby Caldwell,6Dk5fHTvH897XrVzCO64Mx,0.892508143
Highway to Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,0.239795918
Ventura Highway,America,4IU1RL4BKvFyXtbTwaHAvW,0.496240602
She's Always a Woman,Billy Joel,5RgFlk1fcClZd0Y4SGYhqH,0.559440559
Message In A Bottle,The Police,1oYYd2gnWZYrt89EBXdFiO,0.830601093
Free Bird,Lynyrd Skynyrd,5EWPGh7jbTNO2wakv8LjUI,0.668067227
You Sexy Thing,Hot Chocolate,714hERk9U1W8FMYkoC83CO,0.765124555
Midnight Train to Georgia,Gladys Knight & The Pips,7MF7QAodbGzNYav5ZfIhAY,0.738317757
Born to Be Alive - The Original,Patrick Hernandez,3XIEWK1V9n25PS9Vb6axj5,0.865942029
Reelin' In The Years,Steely Dan,1x1XQqhBViz4opcpwc7FVs,0.315789474
What a Fool Believes,The Doobie Brothers,2yBVeksU2EtrPJbTu4ZslK,0.716911765
Night Fever,Bee Gees,0qemIQjSxcKyf42VPfZnfa,0.762886598
Don't Stop 'Til You Get Enough,Michael Jackson,46eu3SBuFCXWsPT39Yg3tJ,0.921259843
Mississippi Queen,Mountain,4vO9dmzNRqDhFY3jD1a3P7,0.869565217
Angie,The Rolling Stones,1GcVa4jFySlun4jLSuMhiq,0.625
One Love / People Get Ready - Medley,Bob Marley & The Wailers,2BSwGHTh4kmckqXQfaCaAp,0.71810089
One of These Nights - 2013 Remaster,Eagles,608xszaAxVh4m7NcKJiAbF,0.318021201
Iron Man,Black Sabbath,0TI8TP4FitVPoEHPTySx48,0.351351351
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,3vkQ5DAB1qQMYO4Mr9zJN6,0.054794521
Gangsta's Paradise,Coolio,1DIXPcTDzTj8ZMHt3PDt8p,0.619230769
Still D.R.E.,Dr. Dre,503OTo2dSqe7qk76rgsbep,0.593607306
It Was A Good Day,Ice Cube,2qOm7ukLyHUXWyR4ZWLwxA,0.24829932
Hypnotize - 2014 Remaster,The Notorious B.I.G.,7KwZNVEaqikRSBSpyhXK2j,0.261410788
Doo Wop (That Thing),Ms. Lauryn Hill,0uEp9E98JB5awlA084uaIg,0.656862745
No Diggity,Blackstreet,6MdqqkQ8sSC0WB4i8PyRuQ,0.491428571
"Shook Ones, Pt. II",Mobb Deep,33ZXjLCpiINn8eQIDYEPTD,0.277777778
You Know How We Do It,Ice Cube,67ncYmW29pNJJY2yXuLPwT,0.331877729
Juicy - 2005 Remaster,The Notorious B.I.G.,5ByAIlEEnxYdvpnezg7HTX,0.261410788
Forgot About Dre,Dr. Dre,7iXF2W9vKmDoGAhlHdpyIa,0.407725322
Regulate,Warren G,7nYvUtkQMx1v80S2FH2s9J,0.610062893
I Got 5 On It,Luniz,4IYKjN1DrYzxKXt0umJqsG,0.451612903
Insane in the Brain,Cypress Hill,1oTHteQbmJw15rPxPVXUTv,0.192982456
Jump Around - 30 Years Remaster,House Of Pain,7L93GESzq43UkKUt5FsOCq,0.584
Do For Love,2Pac,4AE7Lj39VnSZNOmGH2iZaq,0.684563758
93 'Til Infinity,Souls Of Mischief,0PV1TFUMTBrDETzW6KQulB,0.683417085
Check Yo Self - Remix,Ice Cube,3NGT0Td7H4Is1qrlDQJxma,0.306188925
Keep Ya Head Up,2Pac,4Tttv4p2xuAq1LpQ7LI95E,0.477876106
Still Not a Player (feat. Joe) - Radio Version,Big Pun,3GKL13lkM5nRc4zC1lIOrR,0.451476793
Real Muthaphuckkin' G's,Eazy-E,53BZ6XygAoubR5DU5w38Vq,0.251141553
Miami,Will Smith,6e8Ou0wiqAzIpWb2eSxll8,0.846590909
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,5PQmSHzWnlgG4EBuIqjac2,0.64893617
Dear Mama,2Pac,6tDxrq4FxEL2q15y37tXT9,0.642622951
Hail Mary,Makaveli,6sCtddSFg3foJn4K2pIhfQ,0.369230769
ATLiens,Outkast,2vfvGlqCB7oertO5VLE0sz,0.498007968
Ruff Ryders' Anthem,DMX,1BKT2I9x4RGKaKqW4up34s,0.171232877
Can I Kick It?,A Tribe Called Quest,3Ti0GdlrotgwsAVBBugv0I,0.85625
Keep Their Heads Ringin',Dr. Dre,1rylJ0VXvhOzLGNm401iaI,0.586387435
Shoop,Salt-N-Pepa,0Pu71wxadDlB8fJXfjIjeJ,0.64321608
Thuggish Ruggish Bone,Bone Thugs-N-Harmony,7qHAjAL7CpadaZLamuBZRm,0.521008403
Da Rockwilder,Method Man,4anqYZt4APNlFwQixpbdZR,0.384615385
Shimmy Shimmy Ya,Ol' Dirty Bastard,3ABG1UQTk0eLYUAeWkmfMi,0.637362637
Electric Relaxation,A Tribe Called Quest,0eEXcw3JLVXcRxYrVYMy68,0.872463768
Tha Crossroads,Bone Thugs-N-Harmony,5KSJ9k1FYjFLnIRlJT2wF8,0.574561404
This D.J.,Warren G,2ImuQo1g14CTR9hZAZD3aQ,0.492462312
Gangsta Nation,Westside Connection,65iyI1iybyv5ecsfBHSdUf,0.164874552
Got Your Money (feat. Kelis),Ol' Dirty Bastard,6YYd5MLpu45J0uLrMdivF7,0.533936652
Hard Knock Life (Ghetto Anthem),JAY-Z,5Tl0HJvynZtKdSUMKbFVVX,0.347222222
Nas Is Like,Nas,3gY6tiCNsuVi6s8kPV6aQg,0.469444444
I Wish,Skee-Lo,0QMHVTnrFTQJoaqmkdsKhT,0.936241611
Jump,Kris Kross,27AHAtAirQapVldIm4c9ZX,0.777777778
"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",Wu-Tang Clan,24vNw0Z0srb4zYXwrakw8E,0.490039841
